id,property_type,prop_type_simp,number_of_reviews,review_scores_rating,cleaning_fee,price,price_3_nights
25745539,Townhouse,Townhouse,71,99,75,119,432
25746013,Condominium,Condominium,46,94,120,169,627
25749215,House,House,70,98,25,150,475
25749656,House,House,13,98,30,81,273
25774745,Townhouse,Townhouse,63,100,200,225,875
25779934,Townhouse,Townhouse,51,99,75,119,432
25781793,House,House,27,96,130,300,1030
25782632,House,House,44,100,170,200,770
25799626,Townhouse,Townhouse,20,100,200,350,1250
25801429,Guest suite,Other,169,98,15,69,222
25803131,Townhouse,Townhouse,15,96,359,699,2456
25807003,House,House,13,100,440,824,2912
25812347,House,House,49,99,250,430,1540
25813364,Guest suite,Other,254,99,20,90,290
25813803,Condominium,Condominium,6,100,199,399,1396
25830405,Condominium,Condominium,115,96,85,89,352
25832972,Condominium,Condominium,55,95,63,120,423
25836800,Condominium,Condominium,33,85,65,75,290
25840676,Condominium,Condominium,57,95,65,75,290
25841346,Condominium,Condominium,86,97,65,85,320
25853413,Bungalow,Other,7,97,50,35,155
25862741,House,House,14,99,150,125,525
25867626,Condominium,Condominium,50,93,120,169,627
25867779,Condominium,Condominium,69,97,120,169,627
25871118,House,House,57,89,85,87,346
25883589,Condominium,Condominium,47,97,120,169,627
25886612,House,House,59,100,65,250,815
25903972,House,House,9,100,275,900,2975
25909117,House,House,46,100,175,390,1345
25914070,House,House,34,97,18,63,207
25917137,Condominium,Condominium,60,100,85,150,535
25937500,Aparthotel,Other,28,92,0,140,420
25943936,House,House,14,93,60,150,510
25948339,Condominium,Condominium,60,95,120,169,627
25948478,Condominium,Condominium,38,92,120,169,627
25948533,Condominium,Condominium,55,94,120,169,627
25950318,Townhouse,Townhouse,57,99,50,119,407
25967703,House,House,15,100,225,148,669
26010102,Townhouse,Townhouse,12,100,150,317,1101
26010872,House,House,42,99,250,195,835
26011923,House,House,70,98,35,118,389
26028545,Condominium,Condominium,2,100,200,95,485
26037089,Apartment,Apartment,30,96,100,115,445
26041611,House,House,60,98,250,430,1540
26063776,Townhouse,Townhouse,44,91,120,199,717
26065230,House,House,75,99,40,175,565
26105182,Guesthouse,Other,5,100,40,46,178
26107907,Tiny house,Other,97,100,30,75,255
26108872,House,House,36,97,25,40,145
26125288,Guest suite,Other,98,99,25,40,145
26125808,House,House,54,100,75,200,675
26128610,House,House,44,100,175,399,1372
26129261,House,House,37,99,395,650,2345
26134094,Guest suite,Other,66,99,25,109,352
26135051,House,House,40,98,25,140,445
26150086,Apartment,Apartment,139,89,65,125,440
26156161,House,House,94,97,150,100,450
26159792,Guest suite,Other,86,94,40,95,325
26161505,House,House,122,97,205,140,625
26166418,House,House,68,95,150,999,3147
26202086,Townhouse,Townhouse,6,100,308,111,641
26217097,House,House,3,100,200,350,1250
26220501,Apartment,Apartment,85,99,95,123,464
26228112,Townhouse,Townhouse,26,98,200,99,497
26232437,Condominium,Condominium,73,97,80,80,320
26236329,Townhouse,Townhouse,18,100,300,189,867
26245408,House,House,27,97,160,390,1330
26248626,House,House,1,60,125,400,1325
26250836,Condominium,Condominium,97,100,50,50,200
26268262,Guest suite,Other,77,99,35,70,245
26278591,Townhouse,Townhouse,127,98,60,100,360
26280450,House,House,29,100,100,275,925
26306062,House,House,50,100,100,130,490
26319881,House,House,77,94,299,189,866
26321010,Loft,Other,28,99,140,220,800
26322622,Apartment,Apartment,25,96,140,220,800
26326547,House,House,34,93,110,191,683
39223418,Apartment,Apartment,3,100,45,80,285
39245483,Apartment,Apartment,7,91,119,129,506
39250670,House,House,1,100,299,356,1367
39253320,House,House,2,80,85,75,310
39253335,Townhouse,Townhouse,8,100,60,80,300
39254298,House,House,1,100,250,250,1000
39257049,Apartment,Apartment,1,100,100,93,379
39266420,House,House,1,100,224,149,671
39267774,House,House,1,100,224,179,761
